sample_id,container_declared_duration_sec,container_effective_duration_sec,video_stream_declared_duration_sec,audio_decoded_duration_sec,video_decoded_duration_sec,alignment_timeline_duration_sec,declared_minus_decoded_timeline_sec,container_truncation_suspected,face_detection_rate,sampled_video_frame_count
-3g5yACwYnA$_$13,8.767,5.513997,5.513997395833333,5.399125,5.5,5.5,3.2669999999999995,True,1.0,55
-3g5yACwYnA$_$3,19.273,14.388997,14.388997395833334,14.327875,14.366666666666667,14.366666666666667,4.9063333333333325,True,1.0,144
-3g5yACwYnA$_$2,14.234,9.39401,9.394010416666667,9.2313125,9.366666666666667,9.366666666666667,4.867333333333333,True,1.0,94
-3g5yACwYnA$_$9,16.234,8.816992,8.8169921875,8.6961875,8.8,8.8,7.434000000000001,True,1.0,88
-3nNcZdcdvU$_$5,10.937,7.867969,7.86796875,7.788625,7.866666666666666,7.866666666666666,3.070333333333333,True,0.9113924050632911,79
-HwX2H8Z4hY$_$2,8.151,3.982031,3.98203125,3.915875,3.9666666666666663,3.9666666666666663,4.184333333333333,True,0.0,40
-HwX2H8Z4hY$_$5,11.467,5.652995,5.652994791666667,5.5440625,5.633333333333333,5.633333333333333,5.833666666666668,True,0.07017543859649122,57
-HwX2H8Z4hY$_$6,6.767,3.358008,3.3580078125,3.256,3.333333333333333,3.333333333333333,3.4336666666666673,True,0.029411764705882353,34
-HwX2H8Z4hY$_$9,11.434,7.733984,7.733984375,7.636375,7.733333333333333,7.733333333333333,3.700666666666666,True,0.0,78
-NFrJFQijFE$_$1,9.12,5.746,5.746,5.658875,5.72,5.72,3.3999999999999995,True,0.0,48
-NFrJFQijFE$_$2,9.76,6.856,6.856,6.698375,6.84,6.84,2.92,True,0.0,57
-THoVjtIkeU$_$12,18.8,14.896029,14.896028645833333,14.8055625,14.866666666666667,14.866666666666667,3.9333333333333336,True,0.09395973154362416,149
-THoVjtIkeU$_$2,4.644,4.291992,4.2919921875,4.230875,4.266666666666667,4.266666666666667,0.3773333333333335,True,0.11627906976744186,43
-THoVjtIkeU$_$6,11.067,8.097005,8.097005208333334,7.9829375,8.066666666666666,8.066666666666666,3.0003333333333337,True,0.024691358024691357,81
